company,quoted,country,industry,operating_revenue_2023,operating_revenue_2022,operating_revenue_2021,operating_revenue_2020,operating_revenue_2019,net_income_2023,net_income_2022,net_income_2021,net_income_2020,net_income_2019,cash_flow_2023,cash_flow_2022,cash_flow_2021,cash_flow_2020,cash_flow_2019,total_assets_2023,total_assets_2022,total_assets_2021,total_assets_2020,total_assets_2019,profit_margin_2023,profit_margin_2022,profit_margin_2021,profit_margin_2020,profit_margin_2019,solvency_ratio_2023,solvency_ratio_2022,solvency_ratio_2021,solvency_ratio_2020,solvency_ratio_2019,cogs_2023,cogs_2022,cogs_2021,cogs_2020,cogs_2019,ebitda_2023,ebitda_2022,ebitda_2021,ebitda_2020,ebitda_2019,cash_2023,cash_2022,cash_2021,cash_2020,cash_2019
TERNA S.P.A.,Yes,IT,Electricity,3545.50459117889,3210.67777955532,3000.82451462746,3160.88508540392,2627.85693778992,978.367439079285,914.075761437416,894.074682712555,963.88649970293,850.750709211826,1868.66633863449,1686.72043073177,1637.40026450157,1753.40218895674,1510.18642333746,25907.7311270714,24321.5614708066,25324.0367946625,25315.4266770482,20225.3539461732,38.92,40.12,41.989,42.436,46.058,27.055,27.054,21.079,21.404,23.506,-374.926668262482,-312.620310008526,-255.061589241028,-273.152304053307,-160.421499109268,2361.16505966187,2194.74176698923,2128.38249778748,2245.46900802851,1950.67150597572,1522.91168346405,2298.6285571456,1774.55816173553,3299.67001616955,1187.8830053091
SOCIETATEA ENERGETICA ELECTRIC S.A.,Yes,RO,Electricity,2961.68561933783,2772.80867015378,1687.28922598213,1680.91821803105,1511.42159685351,171.764093604997,-51.8607865128815,-126.497357745767,97.7163337900043,48.5066195289642,288.42431162408,55.2149055470675,-16.485231243372,221.497971315444,161.225594940037,2840.85083832832,2302.62699090831,1803.63237499237,2032.7326222955,1834.69587161815,6.744,-2.238,-8.575,6.635,3.51,41.967,42.804,62.838,71.451,71.502,-2014.76403334272,-2267.03686429442,-1302.93179935575,-984.796973407566,-905.843288544551,398.605816076338,104.850041507512,-12.3735328772664,223.939726105034,167.816610854879,83.9038671373576,72.2580161467642,50.7538839548826,143.955867437661,142.580269713432
AB IGNITIS GROUP,Yes,LT,Electricity,2816.75676412582,4678.53199529648,2140.62590711117,1496.2819372505,1233.56381356037,353.821158790588,312.940289855003,174.311717720032,209.597150037885,63.6574527102709,525.31723575592,474.956752121449,345.260745127201,355.995004857182,202.482713031888,5795.06460075378,5622.68586230278,4814.9704549098,4811.37536451459,3592.72934454036,13.883,7.69,8.913,15.972,6.025,43.158,40.322,43.493,46.246,42.17,-1942.25937166214,-3849.03757327795,-1562.93745728731,-865.999561488032,-816.317380295873,560.677251625061,578.096922636032,380.706604349613,409.34069270134,251.166369092107,226.856601810455,740.326704800129,508.62021787405,808.406882968545,148.105666513085
PUBLICHNOE AKTSIONERNOE OBSCHESTVO ROSSETI MOSKOVSKIY REGION,Yes,RU,Electricity,2727.6025530199,2946.20068965318,2565.22772768036,2290.87597034944,2695.17712964412,293.112657184972,191.23751818931,140.764085007096,64.3625189108904,130.954520884098,762.089594982398,854.154621823939,521.735616841532,433.422504712092,498.268674430121,4666.91483711798,5523.40824085506,5147.01172050347,4836.06722361986,5600.62973400561,14.114,8.314,7.275,3.908,7.016,51.67,48.994,48.535,49.659,50.167,-338.508621145718,-391.811165710172,-363.879614426522,-309.376569897858,-355.197627503505,906.083220405606,848.167658994935,707.27086285314,617.606687004562,741.930526690694,58.7539264965616,219.85701689723,143.408951351836,18.0828748676134,32.1698659354858
PUBLICHNOE AKTSIONERNOE OBSHCHESTVO NEFTEGAZOVAYA KOMPANIYA RUSSNEFT,Yes,RU,Crude_Oil,2662.93705301321,3906.43316417732,3085.91756070259,1784.25713508092,3106.38372112428,354.394516430666,119.531188338692,261.724798203848,-197.100757401142,241.789520568123,558.392688503127,344.029982359617,433.702072268198,-50.2589093301147,365.099591643093,4066.14558617016,4433.41226952866,3957.67690341114,3960.81241208115,4724.33181802955,17.65,4.5,11.41,-12.594,10.337,33.684,32.608,32.556,27.549,33.531,-1794.8649540295,-3023.39697860317,-2049.88232996867,-1369.77910115839,-2290.3778643693,651.491528157694,617.243188800738,820.651373007358,219.229319939987,594.932393752588,106.129758430967,21.9116117664948,113.998848984639,55.0850566339055,21.8882275361456
"AUDAX RENOVABLES, S.A.",Yes,ES,Electricity,2533.93741219997,2808.33832039297,1914.07413280964,1189.42735093832,1172.59240990031,32.078164396286,3.77469558894634,3.21431967258453,32.3770150154829,28.5534540816546,57.6301958637238,8.6607878446579,28.0952832269669,56.4944246464968,58.017985444665,1431.16680729008,1404.50887213349,1528.0069312048,1407.0116903162,869.79570693171,1.963,0.478,0.264,3.513,3.165,13.377,10.311,11.039,13.173,20.112,-2273.99267553997,-2670.71818822145,-1768.24844542265,-1048.45327502251,-1032.9369570868,148.040231438637,48.9686491054296,64.0983818006516,81.5211148583889,80.6309010999203,254.366694156647,219.643766017556,276.523232467175,451.858456327319,168.620071241617
"REDEIA CORPORACION, S.A.",Yes,ES,Electricity,2376.6660066185,2248.91328839839,2223.9762289381,2457.80627080202,2277.14386086118,762.052541999817,709.001744429469,771.705147693157,762.255678316951,806.646030955315,1356.03671857262,1290.28993273437,1362.22482640028,1434.93188067615,1397.02523267376,16005.7631181898,15765.9616676807,15838.8240825319,15760.9726137275,14224.4440116358,42.315,41.239,45.264,40.24,46.804,38.171,33.111,26.352,27.187,28.546,-50.5990777082443,-39.5292436343431,-21.1286587357521,-33.5084005695581,-38.7606651524305,1686.85618704033,1607.40169318795,1697.35672697783,1924.72733894467,1777.68814970231,746.33611994648,847.758871655464,1783.19650428057,591.182083685398,369.115489932299
ENERGIEDIENST HOLDING AG,Yes,CH,Electricity,2189.33748254776,1622.72446143627,1287.76654958725,1286.4909055233,1071.94814040661,118.34555311203,105.700009286404,82.3400423526764,52.8879798054695,11.4586785078049,180.778081130981,166.389520168304,146.558479785919,115.101914286613,72.4592905640602,2008.22790126801,1765.86211276054,1885.32647180557,1800.64551198483,1608.59625052214,5.895,7.487,7.933,3.758,0.922,57.813,57.737,47.158,49.727,49.368,-1756.61928834915,-1323.86328482628,-961.351140975952,-970.6355458498,-808.173854756355,201.994090652466,163.723021447659,164.227044582367,107.862028419971,54.5972328901291,76.9080345153809,129.271857976913,337.85467171669,148.969854950905,121.214844214916
SOCIETATEA NATIONALA DE GAZE NATURALE ROMGAZ S.A.,Yes,RO,Natural_Gas,2030.38261092487,2899.86645353807,1384.47754739761,1034.41320884603,1203.36418310282,625.496917969242,549.499851642966,438.154301414788,314.650513109207,255.732027709946,731.49985569419,668.188843720734,595.056399902403,484.106631361663,574.510198358908,3662.44722996935,3091.54167995112,2583.7904753533,2335.14032212418,1937.00084004374,55.514,30.91,35.651,34.772,24.87,70.215,70.327,79.529,84.085,86.925,-49.4546028434336,-65.5530146036744,-65.8814379346371,-23.4619251519442,-24.3710106682777,1234.95975943977,1016.68429270871,573.199946643412,548.355241226971,657.482646649986,119.046667631418,406.482114786774,819.185029791594,105.121779697716,85.4165902893394
FJORDKRAFT HOLDING ASA,Yes,NO,Electricity,1860.43248843674,2588.38891246799,1709.23407324333,532.973726161391,811.747484991334,18.9073750383854,7.48955395118892,29.1416090610698,46.9007022046894,42.1603639809489,55.4825970648676,51.0229222458303,75.9494307186156,82.6772546342164,65.0455573402345,819.5324660239,1457.61241188696,1147.10007731219,601.331637666926,342.621863950342,1.256,0.504,2.223,11.299,6.881,18.224,8.629,16.548,37.9,33.349,-1690.51390070723,-2416.1784616528,-1514.41571202176,-310.317108153775,-663.712293068007,75.0421845066771,74.7806307867318,90.6514710726887,131.35392396833,77.866513912946,33.308358632639,7.1549697638154,34.7650782720149,70.2635386551023,88.3298395332098
